HIP,RA_deg,Dec_deg,Vmag,BV
434,1.31348863,-27.27160831,9.0400,0.6920
435,1.31357538,-49.14221463,9.3000,0.5380
436,1.32445343,-67.83122670,8.4900,1.0760
437,1.32451324,48.47719511,8.3000,0.9980
438,1.32686621,-1.79412136,7.9500,0.9910
440,1.33276937,68.88440910,7.0800,-0.0060
441,1.33296709,-38.85723115,6.9300,0.9400
442,1.33346262,-21.31530277,8.3800,-0.0600
443,1.33394073,-5.70783255,4.6100,1.0290
439,1.33455564,-37.35168110,8.5600,1.4620
444,1.33660254,-59.81448691,8.7800,1.1560
445,1.34012165,-56.95562054,7.4200,0.1910
447,1.34190030,8.78795370,8.2600,1.0520
446,1.34229760,-79.25391278,7.7100,1.0930
448,1.34271288,3.60610712,6.9100,1.1200
449,1.34473977,-33.49941419,9.1600,0.7820
450,1.34994786,28.54375172,8.9900,1.1990
451,1.35116229,16.32907717,8.6300,0.4600
452,1.35565957,21.56940242,9.9000,0.5990
453,1.35611944,-3.85159559,7.5900,1.0450
454,1.36004465,-14.42209198,7.3900,0.9900
456,1.36543236,-37.30254152,7.7800,1.1230
457,1.36678819,-42.88738421,7.4700,1.6200
458,1.36762563,-7.66532823,6.9700,1.4440
459,1.36813317,-61.22566452,8.8200,0.6660
460,1.36976446,22.22467477,9.1300,0.7350
461,1.37106856,34.10565584,7.8600,0.4940
462,1.37961808,-9.61729691,7.1300,0.4460
463,1.38325838,-35.12972759,9.4500,0.9950
464,1.38388036,-31.96763926,12.0400,0.5010
465,1.39092668,76.28582649,8.7800,1.2490
466,1.39547600,53.17169568,7.2300,1.1740
467,1.39643718,-47.56931860,9.7300,0.7250
468,1.39896188,-61.30989474,7.3600,0.9930
469,1.40103106,-51.26045604,7.3600,1.4440
470,1.40397116,43.40143611,8.4700,-0.1800
471,1.41191024,-58.28951949,9.3700,1.5370
472,1.41549758,55.70990230,6.9900,1.1870
473,1.41782275,45.81245496,8.2000,1.4100
474,1.42019898,44.46868671,8.3600,0.2470
475,1.42333268,58.31365552,8.2200,0.6360
476,1.42473238,13.39628227,5.5500,0.9010
477,1.42893454,-29.96063430,9.9100,0.3530
478,1.42927167,-22.50977022,9.6700,0.5240
480,1.43016919,-15.36550173,8.6000,1.1000
479,1.43020191,25.61517178,10.0700,0.9230
481,1.43360334,-36.77845599,10.1500,0.6770
482,1.43504635,17.84032678,7.7500,0.4140
483,1.43904170,81.07146901,9.2100,0.0970
484,1.44169115,-19.66981225,9.6600,0.7870
485,1.44777978,47.08729369,8.4700,0.0450
486,1.45705278,-52.82010001,9.3700,0.5070
487,1.46242223,78.73840785,9.4400,0.6170
488,1.46256763,-68.55128874,9.9900,0.6460
489,1.46611168,2.76462706,10.3800,0.7820
490,1.46861724,-41.75288210,7.5100,0.5950
491,1.46996926,12.52743978,8.9100,1.1900
493,1.47850515,18.23536692,7.4500,0.5960
492,1.47853237,-14.43272890,9.5700,0.5100
494,1.47971363,-68.81162782,8.9900,0.5850
495,1.48151411,18.07622626,8.5800,0.9200
496,1.48628758,24.56904604,6.9000,1.5640
497,1.48768965,49.62234797,7.5500,0.3000
498,1.49280820,44.73937991,7.9300,0.2390
499,1.49565621,-54.64056978,9.7100,0.9150
500,1.50012278,-48.67872936,9.5700,1.8120
501,1.50054698,-39.13751717,8.5500,1.3570
502,1.50224247,28.27696051,6.6200,1.5310
503,1.50439459,16.45207976,7.8900,0.9300
504,1.51336417,24.91664125,7.5100,1.1120
505,1.51413834,63.67965857,7.3600,0.1260
506,1.51463805,53.27691513,8.6600,-0.0390
507,1.51738261,-84.09820798,8.5100,1.5760
508,1.51773179,40.41853643,6.6500,0.9120
509,1.52168260,-31.44433776,9.6700,0.6330
510,1.53342667,9.71496461,7.8000,0.5010
511,1.53351571,0.12143808,8.2100,1.1080
